"components/c-100/title/","Czy rozpoznajesz Matterhorn wygenerowany przez AI?"
"components/c-100/displayTitle/","Czy rozpoznajesz Matterhorn wygenerowany przez AI?"
"components/c-100/body/","Zacznijmy od małego wyzwania. Jedno z tych zdjęć zostało stworzone za pomocą modelu generowania obrazów Google Imagen 4, aktualnego przykładu generatywnych modeli AI. Drugie to fotografia wykonana przez człowieka. Czy potrafisz rozpoznać, które to które?"
"components/c-100/instruction/","Wybierz obraz, który Twoim zdaniem został wygenerowany przez AI. Nie martw się, <strong> nie będziesz (jeszcze) oceniany </strong>."
"components/c-100/ariaQuestion/","Które z nich to Matterhorn?"
"components/c-100/_items/0/altText/","Matterhorn 1"
"components/c-100/_items/0/_graphic/alt/","Matterhorn 2"
"components/c-100/_items/1/altText/","Matterhorn 2"
"components/c-100/_items/1/_graphic/alt/","Matterhorn 2"
"components/c-100/_feedback/title/","Informacja zwrotna"
"components/c-100/_feedback/correct/","<strong> Zgadza się! </strong> Gratulacje, zidentyfikowałeś Matterhorn wygenerowany przez AI! Ten obraz został wygenerowany za pomocą Google Imagen 4, podczas gdy drugi to prawdziwe zdjęcie z <a href=""https://www.pexels.com/photo/white-mountain-under-gray-sky-267104/"" target=""_blank"">www.pexels.com</a>."
"components/c-100/_feedback/_incorrect/notFinal/","To nie do końca prawda. Spróbuj jeszcze raz!"
"components/c-100/_feedback/_incorrect/final/","<strong>To jest błędne </strong>. Wygląda na to, że model Cię oszukał, a wybrany przez Ciebie obraz to prawdziwa fotografia pochodząca z pexels.com (bez osobistych zasług). Ale muszę przyznać, że było to dość trudne ze względu na mały rozmiar zdjęć."
"components/c-100/_buttons/_submit/buttonText/","Wyślij"
"components/c-100/_buttons/_submit/ariaLabel/","Wybierz tutaj, aby wysłać swoją odpowiedź."
"components/c-100/_buttons/_reset/buttonText/","Resetuj"
"components/c-100/_buttons/_showCorrectAnswer/buttonText/","Poprawna odpowiedź"
"components/c-100/_buttons/_hideCorrectAnswer/buttonText/","Moja odpowiedź"
"components/c-100/_buttons/_showFeedback/buttonText/","Pokaż informację zwrotną"
"components/c-100/_buttons/remainingAttemptsText/","Pozostałe próby"
"components/c-100/_buttons/remainingAttemptText/","ostatnia próba"
"components/c-101/displayTitle/","Test Turinga: Wczesny test IQ dla komputerów"
"components/c-101/body/","Opracowany przez <a href=""https://de.wikipedia.org/wiki/Alan_Turing"" target=""_blank"">Alana Turinga (1912-1954)</a>, brytyjskiego matematyka i ojca informatyki."
"components/c-101/instruction/","Przewiń dialog, aby dowiedzieć się więcej."
"components/c-101/_characters/0/_graphic/alt/","Awatar użytkownika"
"components/c-101/_characters/1/name/","Alan"
"components/c-101/_characters/1/_graphic/alt/","Portret Alana Turinga"
"components/c-101/_items/0/text/","Więc, Alanie, właśnie próbowaliśmy rozróżnić prawdziwe zdjęcie od wygenerowanego przez AI. Co to ma wspólnego z inteligencją?"
"components/c-101/_items/1/text/","To doskonałe pytanie! Trafia w sedno tego, o co Turing pytał w 1950 roku: Czy maszyna może być tak dobra w <em>naśladowaniu</em> ludzkiej inteligencji, że nie będziemy w stanie dostrzec różnicy?"
"components/c-101/_items/2/text/","Więc opracował do tego test?"
"components/c-101/_items/3/text/","Tak, dziś jest znany jako Test Turinga. Podstawowa idea jest następująca: jeśli komputer potrafi prowadzić dialog z człowiekiem, nie będąc rozpoznanym jako komputer, możemy powiedzieć, że posiada pewien poziom inteligencji."
"components/c-101/_items/4/text/","Więc zamiast obrazów chodzi o konwersację?"
"components/c-101/_items/5/text/","Tak, w Twoim teście obrazkowym byłeś sędzią i próbowałeś zdecydować, czy <em>wynik</em> (obraz) został stworzony przez ludzi czy maszyny. Test Turinga po prostu rozszerza tę ideę na <em>konwersację</em>. Czy komputer może tworzyć <em>wyniki konwersacyjne</em>, które są nie do odróżnienia od tych stworzonych przez człowieka?"
"components/c-101/_items/6/text/","Ok, chyba rozumiem. Celem jest więc stworzenie komputera, który potrafi przekonująco <em>naśladować</em> ludzką inteligencję?"
"components/c-101/_items/7/text/","Dokładnie! I im bardziej zaawansowana staje się AI, tym trudniej jest identyfikować obrazy, teksty i filmy generowane przez AI. Oczywiście wiesz, że ta rozmowa jest wstępnie zaprogramowana, ale nowe modele, takie jak ChatGPT, są tak przekonujące, że z łatwością przechodzą Test Turinga."
"components/c-101/_items/8/text/","Dziękuję!"
"components/c-103/title/","Co to jest AI?"
"components/c-103/body/","Test Turinga jest bardzo pomocną analogią, ale <strong>Sztuczna Inteligencja</strong> to coś więcej niż tylko <strong>naśladowanie ludzi</strong>."
"components/c-103/_items/0/title/","Elastycznie stosowalna do różnych problemów"
